moqui.basic.LocalizedMessage,seed
zh,Cash for Out of Store Events,店外活动现金
zh,Cash in Registers,收银机
zh,Cash on Hand,手上的现金
zh,Certificates of Deposit,存款证
zh,Charitable Donations,慈善捐赠
zh,Collection Expense,收款费用
zh,Commissions Payable Write Off,应付佣金核销
zh,Common Area Charges,公共区域收费
zh,Common Stock,普通股
zh,Communications,通讯
zh,Company Owned Life Insurance,公司拥有的人寿保险
zh,Compensation Expense,补偿费用
zh,Contributions,贡献
zh,Cost of Goods Sold,销售成本
zh,Cost of Sales,销售成本
zh,Cost of Services Sold,销售服务成本
zh,Coupons and Credits,优惠券和积分
zh,Covenant Not To Compete-Previous Owner,不与前所有者竞争的契约
zh,Credit Card Charge Amex,信用卡收费美国运通
zh,Credit Card Charge Debit / Atm Card,信用卡收费 借记卡/ATM 卡
zh,Credit Card Charge Discover,信用卡收费发现
zh,Credit Card Charge Master Card / Visa,信用卡费用 Master Card / Visa
zh,Credit Card Charges,信用卡收费
zh,Current Notes Payable,当前应付票据
zh,Current Payable,当前应付账款
zh,Current Portion of Long-Term Debt,长期债务的当前部分
zh,Current Receivable,当前应收账款
zh,Customer Credit and Deposits,客户信用和存款
zh,Customer Deposit Account,客户存款账户
zh,Customer Lists,客户名单
zh,Customer Parking Subsidy,顾客停车补贴
zh,Customer Returns,客户退货
zh,Customer Returns - Adjustments,客户退货 - 调整
zh,Customer Returns - Products,客户退货 - 产品
zh,Customer Returns - Promotions,客户退货 - 促销
zh,Customer Returns - Work or Time Entry,客户退货 - 工作或时间输入
zh,Customer Service Credits,客户服务积分
zh,Data Processing,数据处理
zh,Data Processing Equipment,数据处理设备
zh,Data Processing Equipment and Software,数据处理设备和软件
zh,Data Processing Software,数据处理软件
zh,Data Processing Supplies,数据处理用品
zh,Deposit - Rent,押金 - 租金
zh,Deposit - Ups,存款 - Ups
zh,Deposit - Utilities,存款 - 公用事业
zh,Deposits,存款
zh,Deposits - Other,存款 - 其他
zh,Depreciation,折旧
zh,Depreciation - Biological Assets,折旧 - 生物资产
zh,Depreciation - Building,折旧 - 建筑
zh,Depreciation - Building Improvements,折旧 - 建筑改进
zh,Depreciation - Data Processing Equipment,折旧 - 数据处理设备
zh,Depreciation - Data Processing Software,折旧 - 数据处理软件
zh,Depreciation - Equipment,折旧 - 设备
zh,Depreciation - Furniture /Fixtures / Equipment,折旧 - 家具/固定装置/设备
zh,Depreciation - Investment Real Estate,折旧 - 投资房地产
zh,Depreciation - Land,折旧 - 土地
zh,Depreciation - Land Improvements,折旧 - 土地改良
zh,Depreciation - Land and Building,折旧 - 土地和建筑物
zh,Depreciation - Leasehold Improvements,折旧 - 租赁改善
zh,Depreciation - Other Assets,折旧 - 其他资产
zh,Depreciation - Other Assets Root,折旧 - 其他资产根
zh,Depreciation - Vehicles,折旧 - 车辆
zh,Disability Income Insurance Premiums,残疾收入保险费
zh,Disability Income Insurance Premiums Owner or Stockholder,残疾收入保险费所有者或股东
zh,Disability and Life Insurance,残疾和人寿保险
zh,Discounts and Write Downs,折扣和减记
zh,Discounts on Sales,销售折扣
zh,Dividend Income,股息收入
zh,Dividends,股息
zh,Dividends - Common Stock,股息 - 普通股
zh,Dividends - Preferred Stock,股息 - 优先股
zh,Donations Collected,收集到的捐款
zh,Drawings - S Corporation,图纸 - S Corporation
zh,Drawings - Sole and Partnership,图纸 - 独家和合伙
zh,Dues and Subscriptions,会费和订阅
zh,Education,教育
zh,Education - Course Fees,教育 - 课程费用
zh,Education - Meals and Entertainment (50% Deductible),教育 - 餐饮和娱乐（50% 免赔额）
zh,Education - Other,教育 - 其他
zh,Education - Product Research,教育 - 产品研究
zh,Education - Travel,教育 - 旅游
zh,Employee Benefits Withholding,员工福利预扣
zh,Employee Disability Insurance Co-Payments,员工伤残保险共付额
zh,Employee Health Insurance Premium Contributions,员工健康保险费缴款
zh,Employee Life Insurance Co-Payments,员工人寿保险共付额
zh,Employment Tax,就业税
zh,Equipment,设备
zh,Equipment Interest Expense,设备利息费用
zh,Equipment Unissued,设备未发行
zh,Equipment Unreceived,设备未收到
zh,Equipment and Vehicle Rent,设备和车辆租赁
zh,Facility Occupancy,设施占用
zh,Facility and Equipment Expense,设施和设备费用
zh,Federal Income Tax,联邦所得税
zh,Federal Income Tax Employee Withholding,联邦所得税雇员预扣
zh,Federal Medicare - Employer,联邦医疗保险 - 雇主
zh,Federal Pension - Employer,联邦养老金 - 雇主
zh,Federal Pension Employee Withholding,联邦养老金雇员预扣
zh,Federal Social Security - Employer,联邦社会保障 - 雇主
zh,Federal Unemployment Insurance - Employer,联邦失业保险 - 雇主
zh,Federal Unemployment Insurance Employee Withholding,联邦失业保险雇员预扣税
zh,Federal Withholding,联邦预扣税
zh,Fees on Sales,销售费用
zh,Financial Account Errors,财务账户错误
zh,Financial Account In Transit Deposits,金融账户在途存款
zh,Financial Account In Transit Transfers,金融账户在途转账
zh,Financial Account In Transit Withdrawals,金融账户在途提款
zh,Financial Account in Transit,在途金融账户
zh,Finished Good Inventory,成品库存
zh,Finished Good Unreceived/Unbilled,成品 未收到/未开票
zh,Fixed Assets,固定资产
zh,Fixed Assets Unissued,未发行的固定资产
zh,Fixed Assets Unreceived,未收到的固定资产
zh,"Food - Staff Meetings, etc.  (100% Deductible - de minimis)",“食品 - 员工会议等（100% 免赔额 - 最低）”
zh,Foreign Exchange Gain,外汇收益
zh,Foreign Exchange Loss,外汇损失
zh,Former Employee Cobra Payments,前雇员眼镜蛇付款
zh,Free Fills,免费填充
zh,Free Samples,免费的样品
zh,Gain on Assets,资产收益
zh,Gain on Found Fixed Assets,固定资产收益
zh,Gain on Found Inventory,发现库存收益
zh,Gain on Sale of Fixed Assets,固定资产出售收益
zh,Garnishment Withholding,扣押扣押
zh,General Checking Account,一般支票帐户
zh,General Cost of Goods Sold,一般销售成本
zh,General Expense,一般费用
zh,Gift Certificate Unredeemed,未兑换的礼券
zh,Good Returns Cost,良好的退货成本
zh,Good Returns Penalties,良好的回报惩罚
zh,Good Returns To Vendors,对供应商的良好回报
zh,Goodwill,善意
zh,Group Health Insurance,团体健康保险
zh,Group Health Insurance - Premiums,团体健康保险 - 保费
zh,Group Health Insurance - Premiums Owner or Stockholder,团体健康保险 - 保费所有者或股东
zh,Group Life Insurance Premiums,团体人寿保险费
zh,Group Life Insurance Premiums Owner or Stockholder,团体人寿保险保费所有者或股东
zh,Holiday Pay - Employees,假期工资 - 员工
zh,Holiday Pay - Owners,假期工资 - 业主
zh,In Transit from Credit Card Processors,在从信用卡处理器传输中
zh,Income from Business (Net of Expenses),营业收入（费用净额）
zh,Insurance,保险
zh,Insurance Contribution Tax - Employer,保险贡献税 - 雇主
zh,Intangible Assets,无形资产
zh,Intellectual Property Assets,知识产权资产
zh,Interest Expense,利息花费
zh,Interest Income,利息收入
zh,Interest Income Write Off,利息收入核销
zh,Interest Income on Finance Charges,财务费用的利息收入
zh,Inventory,存货
zh,Inventory - Average Cost Valuation Adjustment,库存 - 平均成本评估调整
zh,Inventory Adjustment,库存调整
zh,Inventory Purchase Adjustments,库存采购调整
zh,Inventory Shrinkage,库存收缩
zh,Inventory Verification Fees,库存验证费用
zh,Inventory and Use Taxes,库存和使用税
zh,Inventory in Transit,在途库存
zh,Inventory on Hand,现有库存
zh,Investment Real Estate,投资房地产
zh,Investment and Gains Income,投资与收益
zh,Janitorial Supplies,清洁用品
zh,Janitorial and Other Contract Services,清洁和其他合同服务
zh,Joint Advertising,联合广告
zh,Land,土地
zh,Land Improvements,土地改良
zh,Land and Building,土地和建筑
zh,Land and Building Unissued,土地和建筑物未发行
zh,Land and Building Unreceived,未收到土地和建筑物
zh,Late Payment Fees Received,收到的逾期付款费用
zh,Leasehold Improvements,租赁权益改良
zh,Legal Fees,律师费
zh,Liability,责任
zh,Life Insurance,人寿保险
zh,Loan from Owner or Stockholder,所有者或股东的贷款
zh,Loans Receivable,应收贷款
zh,Loans Receivable - Employees,应收贷款 - 员工
zh,Loans Receivable - Others,应收贷款 - 其他
zh,Loans Receivable - Owners,应收贷款 - 业主
zh,Local Income Tax,地方所得税
zh,Local Income Tax Employee Withholding,地方所得税雇员预扣
zh,Local Misc Tax - Employer,地方杂项税 - 雇主
zh,Local Misc Tax Employee Withholding,地方杂项税雇员预扣
zh,Local Withholding,本地预扣税
zh,Long-Term Notes Payable,长期应付票据
zh,Long-Term Obligation,长期义务
zh,Loss on Fixed Assets,固定资产损失
zh,Loss on Fixed Assets Shrinkage,固定资产收缩损失
zh,Loss on Sale of Fixed Assets,固定资产出售损失
zh,Mail Order Deposit,邮购存款
zh,Manufacturing Fees Collected,收取的制造费用
zh,Marketing Consulting Fees,营销咨询费
zh,Medicare Employee Withholding,医疗保险员工预扣税
zh,Membership Fees Collected,收取的会费
zh,Merchandise Credit Unredeemed,商品信用未兑现
zh,Merchandise Purchases,商品购买
zh,Misc Operating Expense,杂项营运费用
zh,Miscellaneous Sales,杂货销售
zh,Miscellaneous Withholding,杂项预扣税
zh,Money Market,货币市场
zh,Mortgage Note Payable,应付按揭票据
zh,Net Income (Period Profit/Loss),净收入（期间利润/亏损）
zh,Network Charges,网络费用
zh,Non-COGS Inventory Expense,非 COGS 库存费用
zh,Non-COGS Royalties and Franchise Fees,非 COGS 版税和特许经营费
zh,Non-Employee Compensation,非雇员补偿
zh,Non-operating Expense,营业外费用
zh,Non-operating Fees and Penalties,非营业费用和罚款
zh,Obsolete Inventory,过时的库存
zh,Office Equipment - Furniture - Fixtures,办公设备 - 家具 - 固定装置
zh,Office Equipment Rent,办公设备租赁
zh,Office Expense,办公费用
zh,Office and Supplies Expenses,办公和用品费用
zh,Other Accrued Expenses,其他应计费用
zh,Other Advertising / Promotion,其他广告/促销
zh,Other Assets,其他资产
zh,Other Assets Unissued,其他未发行资产
zh,Other Assets Unreceived,未收到的其他资产
zh,Other Benefit Expense,其他福利费用
zh,Other Business Taxes and Fees,其他营业税费
zh,Other COGS,其他销货成本
zh,Other Checking Account,其他支票账户
zh,Other Consulting Fees,其他咨询费用
zh,Other Cost of Sales,其他销售成本
zh,Other Current Assets,其他流动资产
zh,Other Data Processing Expense,其他数据处理费用
zh,Other Equipment Rent,其他设备租赁
zh,Other Expense,其他费用
zh,Other Fees Collected,收取的其他费用
zh,Other Fixed Assets,其他固定资产
zh,Other Income,其他的收入
zh,Other Income Root,其他收入来源
zh,Other Insurance,其他保险
zh,Other Intangible Assets,其他无形资产
zh,Other Interest Income,其他利息收入
zh,Other Long Term Obligation,其他长期义务
zh,Other Non-operating Expenses,其他营业外费用
zh,Other Occupancy Costs,其他入住成本
zh,Other Operating Expenses,其他运营费用
zh,Other Postage Expense,其他邮费
zh,Other Purchase Discounts,其他购买折扣
zh,Other Service Charges,其他服务收费
zh,Other Supplies,其他用品
zh,Outside Computer Services,外部计算机服务
zh,Outside Labor and Services,外部劳工和服务
zh,Owners Equity,所有者权益
zh,Owners Equity - Corporation,所有者权益 - 公司
zh,Owners Equity - Sole and Partnership,所有者权益 - 独资和合伙
zh,PTO Pay - Employees,PTO 薪酬 - 员工
zh,PTO Pay - Owners,PTO 支付 - 业主
zh,Packaging Components Inventory,包装组件库存
zh,Paid-in Capital,实收资本
zh,Paid-in Capital from Treasury Stock,库存股票的实收资本
zh,Paid-in Capital in Excess of Par on Common Stock,超过普通股面值的实收资本
zh,Paid-in Capital in Excess of Par on Preferred Stock,超过优先股面值的实收资本
zh,Payable Prompt Payment Discounts,应付即时付款折扣
zh,Payable for Inventory Transferred In,存货转入应付
zh,Payroll Checking Account,工资支票账户
zh,Payroll Processing Expense,工资处理费用
zh,Payroll Withholding,工资预扣
zh,Percentage Rent,百分比租金
zh,Petty Cash,小钱
zh,Plant Equipment,厂房设备
zh,Postage Expense,邮费
zh,Postage and Handling Fees Received,收到的邮资和手续费
zh,Preferred Stock,优先股
zh,Prepaid Expenses,预付的费用
zh,"Prepaid Expenses, Deposits, Other Current Assets",“预付费用、存款、其他流动资产”
zh,Prepaid Insurance,预付保险
zh,Prepaid Interest,预付利息
zh,Prepaid Inventory,预付库存
zh,Prepaid Other,预付 其他
zh,Prepaid Rent,预付租金
zh,Prepaid Wages,预付工资
zh,Printed Items - Not Otherwise Allocated,印刷品 - 未另行分配
zh,Product Sales,产品销售
zh,Professional Services,专业的服务
zh,Promotional Discounts,促销折扣
zh,Promotional Displays,促销展示
zh,Promotional Literature,宣传资料
zh,Promotional Materials,宣传资料
zh,Prompt Payment Discounts,即时付款折扣
zh,Publisher / Vendor Advertising Allowances,出版商/供应商广告津贴
zh,Raw Material and Sub-Assembly Unreceived/Unbilled,未收到/未开票的原材料和子组件
zh,Raw Materials Inventory,原材料库存
zh,Real Estate Insurance,房地产保险
zh,Real Estate Interest Expense,房地产利息支出
zh,Real Estate Taxes,房地产税
zh,Receivable from Inventory Transferred Out,转出存货应收账款
zh,Recruiting and Help Wanted,招聘和需要帮助
zh,Rent Expense,租赁费用
zh,Rental Income,租金收入
zh,Repairs and Maintenance,维修与保养
zh,Repairs and Maintenance - Building,维修和保养 - 建筑
zh,Repairs and Maintenance - Data Processing Equip,维修和维护 - 数据处理设备
zh,"Repairs and Maintenance - Furniture, Fixtures, and Equipment",“维修和保养 - 家具、固定装置和设备”
zh,Repairs and Maintenance - Other,维修和保养 - 其他
zh,Repairs and Maintenance - Rental Building,维修和保养 - 出租大楼
zh,Repairs and Maintenance - Vehicle,维修和保养 - 车辆
zh,Retained Earnings,留存收益
zh,Retirement (Pension / Profit Sharing / 401k),退休（养老金/利润分享/401k）
zh,Royalties on Goods,商品特许权使用费
zh,Sales,销售
zh,Sales Commission Adjustments,销售佣金调整
zh,Sales Commissions - Employee,销售佣金 - 员工
zh,Sales Commissions - Non-Employee,销售佣金 - 非员工
zh,Sales Fees Received,收到的销售费用
zh,Sales Meals and Entertainment,销售餐饮和娱乐
zh,Sales Revenue,销售额
zh,Sales Tax Collected,征收的销售税
zh,Sales Tax Commission,销售税委员会
zh,Sales Travel Expense,销售差旅费
zh,Sales and Use Taxes,销售和使用税
zh,Savings Accounts,储蓄账户
zh,Service Sales,服务销售
zh,Shipping Expense,运费
zh,Shipping Supplies Expense,运输用品费用
zh,Short Term Obligation,短期义务
zh,Sick Pay - Employees,病假工资 - 员工
zh,Sick Pay - Owners,病假工资 - 业主
zh,Slotting Fees,进场费
zh,Social Security Employee Withholding,社会保障雇员预扣税
zh,Special Events,特别活动
zh,Special Fees Collected,收取的特别费用
zh,Special Order Deposit,特殊订单存款
zh,Staff Gifts and Perqs,员工礼品和津贴
zh,Staff Meals and Snacks (100% Deductible),员工膳食和小吃（100% 免赔额）
zh,Staff Picnic / Party (100% Deductible),员工野餐/派对（100% 免赔额）
zh,State Disability Insurance - Employer,国家残疾保险 - 雇主
zh,State Disability Insurance Employee Withholding,国家伤残保险雇员预扣税
zh,State Income Tax,州所得税
zh,State Income Tax Employee Withholding,州所得税雇员预扣
zh,State Misc Tax - Employer,州杂项税 - 雇主
zh,State Misc Tax Employee Withholding,州杂项税雇员预扣
zh,State Pension - Employer,国家养老金 - 雇主
zh,State Pension Employee Withholding,国家养老金雇员预扣
zh,State Unemployment Insurance - Employer,国家失业保险 - 雇主
zh,State Unemployment Insurance Employee Withholding,国家失业保险雇员预扣
zh,State Withholding,国家预扣税
zh,Stationery and Supplies - Office Use,文具和用品 - 办公室使用
zh,Stock - Corporation,股票 - 公司
zh,Store Equipment Rent,商店设备租金
zh,Subscription Fees,订阅费用
zh,Subscription Fees - Bound Reference Tools,订阅费用 - 绑定参考工具
zh,Subscription Fees - Electronic Refer Tools,订阅费用 - 电子推荐工具
zh,Subscription Fees - Professional Publications,订阅费 - 专业出版物
zh,Supplier Deposits,供应商存款
zh,Supplier Discounts,供应商折扣
zh,Supplies Expense,耗材费用
zh,Systems Analysis and Development Fees,系统分析和开发费用
zh,Tax Expense - Income,税费 - 收入
zh,Tax Expense - Other,税费 - 其他
zh,Telephone Co Charges - Cell Phone and Pager,电话公司费用 - 手机和寻呼机
zh,Telephone Co Charges - Fax,电话公司收费 - 传真
zh,Telephone Co Charges - Local,电话公司费用 - 本地
zh,Telephone Co Charges - Long Distance,电话公司费用 - 长途
zh,Telephone Company Use Charges,电话公司使用费
zh,Third Party Fulfillment Fee Deducted,扣除第三方履行费用
zh,Third Party Misc Sales,第三方杂项销售
zh,Third Party Product Sales,第三方产品销售
zh,Third Party Sales,第三方销售
zh,Third Party Sales Commissions Deducted,扣除第三方销售佣金
zh,Third Party Shrinkage Credit,第三方收缩信用
zh,Third-Party Holdings,第三方控股
zh,Transfer Clearing - Asset,转移清算 - 资产
zh,Transfer Clearing - Liability,转让清算 - 责任
zh,Transfer Clearing Accounts,转账清算账户
zh,Travel and Entertainment,旅游和娱乐
zh,"Travel, Entertainment, Education",“旅游、娱乐、教育”
zh,Treasury Stock,库存股票
zh,Undeposited Receipts,未存款收据
zh,Unearned Revenue,非劳动收入
zh,Unemployment Insurance - Employer,失业保险 - 雇主
zh,Uninsured Casualty Loss,无保险伤亡损失
zh,Uninvoiced Item Receipt,未开票项目收据
zh,Unreceived/Unbilled Inventory,未收到/未开票的库存
zh,Utilities,公用事业
zh,Utilities - Electricity,公用事业 - 电力
zh,Utilities - Heating,公用事业 - 供暖
zh,Utilities - Trash Removal / Recycling,公用事业 - 垃圾清除/回收
zh,Utilities - Vehicle Fuel,公用事业 - 车辆燃料
zh,Utilities - Water and Sewer,公用事业 - 水和下水道
zh,Vacation Pay - Employees,假期工资 - 员工
zh,Vacation Pay - Owners,假期工资 - 业主
zh,Vacation and Sick Pay,假期和病假工资
zh,Vehicle Insurance,车辆保险
zh,Vehicle Interest Expense,车辆利息费用
zh,Vehicle Rent,车辆租赁
zh,Vehicles,车辆
zh,Vendor Advertising Allowances Receivable,应收供应商广告津贴
zh,Wages - Employee,工资 - 员工
zh,Wages - Officers,工资 - 官员
zh,Wages - Owners,工资 - 业主
zh,Wages and Commissions,工资和佣金
zh,Web Site and Software,网站和软件
zh,Work in Progress Inventory,在制品库存
zh,Workers Compensation Insurance,工伤保险
zh,Wrappings and Bags,包装和袋子
zh,Write Downs Below Cost,减记低于成本
zh,Write Off Expense,注销费用
zh,Write Off Income,注销收入
