moqui.basic.LocalizedMessage,demo
zh,Checkout Success Template - Client,结帐成功模板 - 客户端
zh,Checkout Template - Client,结帐模板 - 客户端
zh,Child,孩子
zh,Child Support Garnishment,儿童抚养费扣押
zh,Citizen ID Card,公民身份证
zh,City,城市
zh,City Bank CNB,城市银行 CNB
zh,Clause For Renewal,续期条款
zh,Cleaning,打扫
zh,Client Billing,客户计费
zh,Clock In,打卡
zh,Clock Out,打卡
zh,Clones,克隆人
zh,Cold Call,冷呼叫
zh,Collection Agent,催收代理
zh,Color,颜色
zh,Comment,评论
zh,Commission,委员会
zh,Commission Adjustment,佣金调整
zh,Commission Expense,佣金费用
zh,Commission Invoice,佣金发票
zh,Commission Line Item,佣金行项目
zh,Commission Rate,佣金率
zh,Commission Term Fixed Per Unit,每单位固定佣金期限
zh,Commission Term Maximum Per Unit,每单位佣金期限上限
zh,Commission Term Minimum Per Unit,每单位最低佣金期限
zh,Commission Term Variable,佣金期限变量
zh,Commission/Fee,佣金/费用
zh,Commissions Accrued,应计佣金
zh,Commissions Payables Write Off,应付佣金核销
zh,Common Configuration Rate Types,常用配置速率类型
zh,Common Manual TimeEntry Rate Types,常见的手动 TimeEntry 费率类型
zh,Communication,沟通
zh,Communication Cellular,通信蜂窝
zh,Communication Network,通讯网络
zh,Communication Telephone,通讯电话
zh,Company Account,公司账户
zh,Company Check,公司检查
zh,Company Owned Life Insurance,公司拥有的人寿保险
zh,Compatible,兼容的
zh,Competitive Price,有竞争力的价格
zh,Completed,完全的
zh,Completely Finished,完全完成
zh,Compliance Fee,合规费
zh,Component,成分
zh,Component Price,组件价格
zh,Composition,作品
zh,Compressor,压缩机
zh,Computer Hardware,电脑硬件
zh,Computer Server Hosting,计算机服务器托管
zh,Computer Software,计算机软件
zh,Conference,会议
zh,Configurable Good,可配置的好
zh,Configurable Product Instance,可配置的产品实例
zh,Consumable Shipment,消耗品运输
zh,Consume,消耗
zh,Contact,接触
zh,Contact Us,联系我们
zh,Container,容器
zh,Container ISO 20ft,集装箱 ISO 20 英尺
zh,Container ISO 40ft,集装箱 ISO 40 英尺
zh,Container Label,容器标签
zh,Content - Blog Posts,内容 - 博客文章
zh,Content - Full Page,内容 - 整页
zh,Content - Snippet,内容 - 片段
zh,Content Attachment Location,内容附件位置
zh,Content Location,内容位置
zh,Contract (1099 only),合同（仅限 1099）
zh,Contributions,贡献
zh,Contrived,做作
zh,Cookie,曲奇饼
zh,Corporate Customer Advises Not Authorized,未经授权的公司客户建议
zh,Corrected Return,修正回报
zh,Cost Center Category,成本中心类别
zh,Cost of Goods Sold,销售成本
zh,Cost of Sales,销售成本
zh,Cost of Services Sold,销售服务成本
zh,Country,国家
zh,Country Code to use as default in forms for phone numbers,在电话号码表单中用作默认值的国家/地区代码
zh,Country to use as default in forms for postal addresses,邮政地址表单中默认使用的国家/地区
zh,County,县
zh,County-City,县城
zh,County/Parish/Borough,县/教区/自治市镇
zh,Coupons and Credits,优惠券和积分
zh,Create,创建
zh,Created Media,创建媒体
zh,Credit,信用
zh,Credit Card,信用卡
zh,Credit Entry Refused by Receiver,接收方拒绝信用输入
zh,Credit Installment,信用分期
zh,Credit Line,信用额度
zh,Credit Memo,贷项通知单
zh,Credit Open,信用公开
zh,Credit Revolving,信用循环
zh,Credit Secured,信用担保
zh,Cross Sell,交叉销售
zh,Cross-Sell (Complementary),交叉销售（补充）
zh,Currency,货币
zh,Currency Default,货币默认
zh,Current Asset,流动资产
zh,Current Assets,当前资产
zh,Current Liabilities,流动负债
zh,Current Liability,流动负债
zh,Current Price,目前的价格
zh,Customer,顾客
zh,"Customer Advises Not Authorized, Improper, or Ineligible",“客户建议未经授权、不当或不合格”
zh,Customer Assigned,客户分配
zh,Customer Credit Memo,客户信用凭证
zh,Customer Credits,客户信用
zh,Customer Data Entry,客户数据输入
zh,Customer Deposits,客户存款
zh,Customer Pick Up,客户领取
zh,Customer Request,顾客要求
zh,Customer Return Invoice,客户退货发票
zh,Customer Returns,客户退货
zh,Customer Service,客户服务
zh,Customer Service Credit,客户服务信用
zh,Customer Support,客户支持
zh,DFI Account Number Not From Original Entry Detail Record,非原始分录明细记录的 DFI 帐号
zh,Damaged,损坏的
zh,Data Center,数据中心
zh,Data Processing,数据处理
zh,Data Size,数据大小
zh,Data Speed,数据速度
zh,Daycare Record,日托记录
zh,Debit,借方
zh,Debit Card,借记卡
zh,"Deductible, Discretionary Bonus",“免赔额，酌情奖金”
zh,Deduction,扣除
zh,Default Search (One),默认搜索（一）
zh,Delete,删除
zh,Delivered,发表
zh,Delivered Good,交付良好
zh,Delivers,提供
zh,Delivery Info,送货信息
zh,Density,密度
zh,Deny (overrides Allow),拒绝（覆盖允许）
zh,Dependency,依赖
zh,Depends On (Blocked By),取决于（被阻止）
zh,Deployment,部署
zh,Deploys,部署
zh,Deposit,订金
zh,Depreciation,折旧
zh,Description,描述
zh,Description - Long,描述 - 长
zh,Design,设计
zh,Desired,想要的
zh,Desktop,桌面
zh,Development,发展
zh,Digger,挖掘机
zh,Digital (download),数字（下载）
zh,Digital Download,数字下载
zh,Digital and Asset,数字资产
zh,Dimension,尺寸
zh,Direct Mail,直邮
zh,Direct deposit,直接存款
zh,Directions,路线
zh,Directly Applied Roles,直接应用的角色
zh,Disbursement,支出
zh,Discount - Appeasement,折扣 - 绥靖
zh,Discount - Promotional,折扣 - 促销
zh,Discount - Supplier,折扣 - 供应商
zh,Discounted,打折
zh,Discounts,折扣
zh,Discounts and Write-downs,折扣和减记
zh,Discover,发现
zh,Discretionary,全权委托
zh,Discussion,讨论
zh,Distinguishing,区分
zh,Dividend,股利
zh,Dividends,股息
zh,Divorced,离婚
zh,Do Not Withhold,不要扣留
zh,Dock,码头
zh,Document,文档
zh,Documentation,文档
zh,Documents,文件
zh,Donation,捐款
zh,Double Declining Balance,双倍余额递减
zh,Double Time,双倍时间
zh,Double Time Premium,双倍保费
zh,Down-Sell (Downgrade),向下销售（降级）
zh,Driver License Number,驾驶执照号码
zh,Drop Shipment,直接发货
zh,Dry Volume,干体积
zh,Dues and Subscriptions,会费和订阅
zh,Dun and Bradstreet DUNS,邓白氏 DUNS
zh,Dun and Bradstreet DUNS+4,邓白氏 DUNS+4
zh,Duplicate,复制
zh,Duplicate Enrollment,重复注册
zh,Duplicate Entry,双重输入
zh,Duplicate Return,重复返回
zh,Duplicates,重复
zh,E-Mail,电子邮件
zh,EAN,EAN
zh,EDI,电子数据交换
zh,EEOC (Equal Opportunity),EEOC（平等机会）
zh,Earned Leave,带薪休假
zh,East (90°),东 (90°)
zh,East Northeast (67.5°),东北 (67.5°)
zh,East Southeast (112.5°),东东南 (112.5°)
zh,Education Expense,教育费用
zh,Electronic Address,电子地址
zh,Electronic payment,电子支付
zh,Email,电子邮件
zh,Email Address,电子邮件地址
zh,Email Address Verification,电子邮件地址验证
zh,Email Authentication Code Sent,已发送电子邮件验证码
zh,Email Code (OTP),电子邮件代码 (OTP)
zh,Employee,员工
zh,Employee - Executive,员工 - 行政人员
zh,Employee - Labor,雇员 - 劳工
zh,Employee - Regular,员工 - 普通
zh,Employee 401k Types,员工 401k 类型
zh,Employee Compensation,员工薪酬
zh,Employee Section 125 Types,雇员第 125 条类型
zh,Employer 401k Types,雇主 401k 类型
zh,Employer Section 125 Types,雇主第 125 条类型
zh,Employment,就业
zh,Employment Authorization Document,就业授权文件
zh,End User License Agreement,终止用户许可协议
zh,Energy,活力
zh,"Enforced Sequence (no gaps, per organization)",“强制序列（无间隙，每个组织）”
zh,"Enforced and Restart on Fiscal Year (no gaps, per org, reset to 1 each year)",“在财政年度强制执行并重新启动（无间隙，每个组织，每年重置为 1）”
zh,Engineering Bill of Materials,工程物料清单
zh,Entity,实体
zh,Entry Not Processed by Gateway,条目未由网关处理
zh,Equipment,设备
zh,Equipment Class,设备类
zh,Equity,公平
zh,Equity Distribution,股权分配
zh,Equivalent or Substitute,等效或替代
zh,Error Adjustment,误差调整
zh,Error Journal,错误日志
zh,Error Screens,错误屏幕
zh,Event,事件
zh,Exclude,排除
zh,Exclusive Relationship,专属关系
zh,Exemption,豁免
zh,Exemption Inheritance,豁免继承
zh,Exhibit,展示
zh,Existing Customer,现有客户
zh,Expense,费用
zh,"Expenses, Reimbursement",《费用、报销》
zh,Expired,已到期
zh,External,外部的
zh,FI fee,FI费
zh,FIFO,先进先出
zh,FIFO Expire,FIFO 过期
zh,FIFO Receive,先进先出接收
zh,Fabric,织物
zh,Face Image,人脸图像
zh,Facility,设施
zh,Facility Active ID (for individual user),设施活动 ID（个人用户）
zh,Facility Expense,设施费用
zh,Facility General Default ID,设施一般默认 ID
zh,Facility Owner,设施所有者
zh,Facility Use,设施使用
zh,Failure,失败
zh,Fax,传真
zh,Feature Enhancement,功能增强
zh,Feature Test,功能测试
zh,Featured (One),精选（一）
zh,Federal Agent Indicator Code,联邦代理指标代码
zh,Federal EIN,联邦EIN
zh,Federal Income Withholding,联邦收入预扣
zh,Federal Pension Employer,联邦养老金雇主
zh,Federal Unemployment Insurance (FUTA) Employee,联邦失业保险 (FUTA) 雇员
zh,Federal Unemployment Insurance (FUTA) Employer,联邦失业保险 (FUTA) 雇主
zh,Federal User ID,联邦用户 ID
zh,Federal/Country,联邦/国家
zh,Fee,费用
zh,Field Error(s),字段错误
zh,File Record Edit Criteria,文件记录编辑标准
zh,Fin. Account Adjustment,鳍。账户调整
zh,Fin. Account Deposit,鳍。账户存款
zh,Fin. Account Withdrawal,鳍。账户提现
zh,Finance Management,财务管理
zh,Financial,金融
zh,Financial Account,财务账户
zh,Financial Account Transaction,金融账户交易
zh,Finished Good,成品好
zh,Fired,被解雇
zh,Fiscal,财
zh,Fixed,固定的
zh,Fixed Asset,固定资产
zh,Fixed Asset Accumulated Depreciation,固定资产累计折旧
zh,Fixed Asset Depreciation,固定资产折旧
zh,Fixed Asset Found,找到固定资产
zh,Fixed Asset Maintenance,固定资产维护
zh,Fixed Asset Shrinkage,固定资产收缩
zh,Fixes,修复
zh,Floor,地面
zh,Footer,页脚
zh,Footer Item,页脚项目
zh,Footer Template - Client,页脚模板 - 客户端
zh,Footer Template - Server,页脚模板 - 服务器
zh,For Your Information,供您参考
zh,Forecast,预报
zh,Foreign Agriculture (H-2A),外国农业（H-2A）
zh,Foreign Driver License,外国驾照
zh,Foreign Exchange Gain,外汇收益
zh,Foreign Exchange Gain/Loss,外汇损益
zh,Foreign Exchange Loss,外汇损失
zh,Foreign General (H-2B),外国将军（H-2B）
zh,Foreign Passport,外国护照
zh,Foreign Passport plus Visa,外国护照加签证
zh,Foreign Receiving DFI Unable to Settle,国外收款DFI无法结算
zh,Foreign Specialty (H-1B),外国专业（H-1B）
zh,Forklift,叉车
zh,Found,成立
zh,Fraud,欺诈罪
zh,Free Fills,免费填充
zh,Frequently Asked Questions,经常问的问题
zh,Friday,星期五
zh,Friend,朋友
zh,Fulfillment Email,履行电子邮件
zh,Full-time Employed,全职工作
zh,GL Account Class Groups,GL 帐户类组
zh,GL Account Code Mask (like ###-###),GL 帐户代码掩码（如###-###）
zh,GTIN,全球贸易代码
zh,Garnish,装饰
zh,Garnishment,装饰品
zh,Garnishment Invoice,扣押发票
zh,Gas Card Number,加油卡号码
zh,General,一般的
zh,General (public access),一般（公共访问）
zh,General Labor,一般劳工
zh,General Office,办公厅
zh,General User,一般用户
zh,General and Administrative Expense,一般和行政费用
zh,Generic credit,一般信用
zh,Generic debit,通用借记卡
zh,Genre,类型
zh,Geo Group Member,地理组成员
zh,Get Return Labels (true/false),获取返回标签（真/假）
zh,Gift,礼物
zh,Gift Card,礼物卡
zh,Gift Card Purchase,礼品卡购买
zh,Gift Card Reload,礼品卡充值
zh,Gift Card or Certificate,礼品卡或证书
zh,Gift Certificate,礼券
zh,Global Location Number,全球位置编号
zh,Good Freight Cost,良好的运费成本
zh,Good Royalties Cost,良好的版税成本
zh,Good and Material Cost,货物和材料成本
zh,Goods Revenue,商品收入
zh,Government ID Card,政府身份证
zh,Greatest Unit Cost,最大单位成本
zh,Greylisted,灰名单
zh,Gross,总的
zh,Gross Profit,毛利
zh,Ground Commercial,地面商业
zh,Ground Parcel,地面包裹
zh,Group,团体
zh,HMAC SHA-256,HMAC SHA-256
zh,HTML Body CSS Class,HTML 正文 CSS 类
zh,HTML Text,HTML 文本
zh,HTS (Tariff),HTS（关税）
zh,HVAC Maintenance,暖通空调维护
zh,Hardware,硬件
zh,Head Employer,总雇主
zh,Header Account Component,标题帐户组件
zh,Header Logo URL,标题徽标网址
zh,Header Navbar Component,标题导航栏组件
zh,Header Navbar Item,标题导航栏项目
zh,Header Template - Client,标题模板 - 客户端
zh,Header Template - Server,标题模板 - 服务器
zh,Header Title,标题标题
zh,Health Insurance,健康保险
zh,Holiday,假期
zh,Holiday Hourly,每小时假期
zh,Holiday Salary,假期工资
zh,Home Page (One),首页（一）
zh,Home Template - Client,主页模板 - 客户端
zh,Home Template - Server,主页模板 - 服务器
zh,Hourly Earnings,时薪
zh,Hourly Rate Type,小时费率类型
zh,Hours Worked,工作时间
zh,House-Person,房客
zh,Humanitarian Donation,人道主义捐赠
zh,I-551,I-551
zh,I-766,I-766
zh,I-94,I-94
zh,I-94A,I-94A
zh,IAS,国际会计准则
zh,IAT Entry Coding Error,IAT 条目编码错误
zh,ISBN,国际标准书号
zh,IT Security,信息安全
zh,Identity Document,身份证件
zh,Image,图片
zh,Image - Detail,图像 - 细节
zh,Image - Large,图像 - 大
zh,Image - Medium,图像 - 中
zh,Image - Original,图像 - 原始
zh,Image - Small,图像 - 小
zh,Image URL,图片网址
zh,Image URL - Detail,图像 URL - 详细信息
zh,Image URL - Large,图片网址 - 大
zh,Image URL - Medium,图片网址 - 中
zh,Image URL - Original,图片网址 - 原始
zh,Image URL - Small,图片网址 - 小
zh,Immediate Response Requested,要求立即响应
zh,Immigrant Admission Number,移民准入号码
zh,Implements,工具
zh,Improper Effective Entry Date,不正确的生效进入日期
zh,Improper Source Document/Source Document Presented for Payment,为付款而提交的源单据/源单据不正确
zh,In Transit,在途中
zh,Incentive,激励
zh,Incentive Bonus,奖励奖金
zh,Include,包括
zh,Income,收入
zh,Income Taxable,应纳税所得额
zh,Incoming Payment,收款
zh,Incoming Payment Application,收款申请
zh,Incoming Shipment,来货
zh,Incoming/Payable/Purchase Items,收货/应付/采购项目
zh,Incompatible,不相容
zh,Incomplete,不完整
zh,Incorrect Company Identification Number,公司识别号不正确
zh,Incorrect DFI Account Number,DFI 帐号不正确
zh,Incorrect DFI Account Number and Incorrect Transaction Code,错误的 DFI 帐号和错误的交易代码
zh,Incorrect Discretionary Data,不正确的自由裁量数据
zh,Incorrect Individual Identification Number,错误的个人识别号码
zh,Incorrect Individual Identification Number/Identification Number,错误的个人识别号码/识别号码
zh,Incorrect Individual Name/Receiving Company Name,个人姓名/接收公司名称不正确
zh,Incorrect Receiving DFI Identification,接收 DFI 识别错误
zh,Incorrect Routing Number,路由号码不正确
zh,Incorrect Routing Number and Incorrect DFI Account Number,错误的路由号码和错误的 DFI 帐号
zh,"Incorrect Routing Number, Incorrect DFI Account Number, and Incorrect Transaction Code",“错误的路由号码、错误的 DFI 帐号和错误的交易代码”
zh,Incorrect SEC Code for Outbound International Payment,出站国际支付的 SEC 代码不正确
zh,Incorrect Trace Number,不正确的跟踪号
zh,Incorrect Transaction Code,错误的交易代码
zh,Incorrectly Coded Outbound International Payment,错误编码的出境国际支付
zh,Incorrectly Formatted Corrected Data,格式不正确的更正数据
zh,Incoterm,国际贸易术语
zh,Incoterm Carriage Paid To,Incoterm 运费付至
zh,Incoterm Carriage and Insurance Paid to,Incoterm 运费和保险费支付至
zh,Incoterm Cost and Freight,国际贸易术语成本加运费
zh,"Incoterm Cost, Insurance and Freight",“Incoterm 成本、保险和运费”
zh,Incoterm Delivered At Frontier,在边境交付的国际贸易术语
zh,Incoterm Delivered Duty Paid,Incoterm 已完税交货
zh,Incoterm Delivered Duty Unpaid,Incoterm 未完税交货
zh,Incoterm Delivered Ex Quay,Incoterm 从码头交货
zh,Incoterm Delivered Ex Ship,Incoterm 交货交货
zh,Incoterm Delivered at Place,Incoterm 就地交付
zh,Incoterm Delivered at Terminal,Incoterm 在码头交付
zh,Incoterm Ex Works,Incoterm 出厂价
zh,Incoterm Free Alongside Ship,Incoterm 免费随船
zh,Incoterm Free Carrier,国际贸易术语自由承运人
zh,Incoterm Free On Board,Incoterm 船上免费
zh,Indemnification,保障
zh,Independent Of (Concurrent),独立于（并发）
zh,Indirect (FedEx),间接（联邦快递）
zh,Industry,行业
zh,Information,信息
zh,Ingredients,原料
zh,Ingredients - Unique,成分 - 独特
zh,Initial Deposit,初始保证金
zh,Inspired,启发
zh,Installation,安装
zh,Insufficient Funds,不充足的资金
zh,Insufficient Information,信息不足
zh,Insufficient Inventory,库存不足
zh,Insurance Business,保险业务
zh,Insurance Equipment,保险设备
zh,Insurance Expense,保险费用
zh,Insurance Health,保险健康
zh,Insurance Other,保险 其他
zh,Insurance Real Estate,保险房地产
zh,Insurance Vehicle,保险车辆
zh,Intangible,无形的
zh,Intangible Assets,无形资产
zh,Integration,一体化
zh,Interest Equipment,兴趣设备
zh,Interest Expense,利息花费
zh,Interest Income,利息收入
zh,Interest Income Receivables,应收利息收入
zh,Interest Income Write Off,利息收入核销
zh,Interest Other,兴趣 其他
zh,Interest Real Estate,利息房地产
zh,Interest Vehicle,兴趣载体
zh,Interest earned or paid,赚取或支付的利息
zh,Internal,内部的
zh,Internal Applications,内部应用
zh,Internal Applications - Quasar,内部应用 - Quasar
zh,Internal Applications - XAPPS,内部应用程序 - XAPPS
zh,Internal Applications - ZAPPS,内部应用程序 - ZAPPS
zh,Internal Content,内部内容
zh,"Internal Data Entry (employees, etc)",“内部数据输入（员工等）”
zh,Internet,互联网
zh,Internet Domain Name,互联网域名
zh,Internet IP Address,互联网IP地址
zh,Invalid,无效的
zh,Invalid ACH Routing Number,无效的 ACH 路由号码
zh,Invalid Account Number Structure,无效的帐号结构
zh,Invalid Company Identification,无效的公司标识
zh,Invalid DFI Account Number,无效的 DFI 帐号
zh,Invalid Foreign Receiving DFI Identification,外国接收 DFI 标识无效
zh,Invalid Individual ID Number,个人身份证号码无效
zh,Invalid Individual Name/Company Name,个人名称/公司名称无效
zh,Invalid Representative Payee Indicator,无效的代表收款人指标
zh,Invalid Transaction Code,无效的交易代码
zh,Inventory,存货
zh,Inventory - Digital Good,库存 - 数字商品
zh,Inventory - Finished Good,库存 - 成品
zh,Inventory - Raw Material,库存 - 原材料
zh,Inventory - Sub-assembly,库存 - 子装配
zh,Inventory Actual Cost,库存实际成本
zh,Inventory Adjustment from Average Cost,平均成本的库存调整
zh,Inventory Assets,库存资产
zh,Inventory Found,找到库存
zh,Inventory Group,库存组
zh,Inventory Issuance,库存发放
zh,Inventory Management,库存管理
zh,Inventory Origin,库存来源
zh,Inventory Receipt,库存收据
zh,Inventory Shrinkage,库存收缩
zh,Inventory Value Adjustment,库存价值调整
zh,Inventory Variance,库存差异
zh,Investment Real Estate,投资房地产
zh,Invoice AR/AP Application,发票 AR/AP 应用程序
zh,Invoice Adjust Items,发票调整项目
zh,Invoice Adjustment,发票调整
zh,Invoice Document,发票文件
zh,Invoice Finalized,发票完成
zh,Invoice Payment,发票支付
zh,Invoices Past Due,逾期发票
zh,Involvement Requested,要求参与
zh,Involvement Required,需要参与
zh,Item Image,物品图片
zh,Item and RCK Entry Presented for Payment,为付款而提交的物品和 RCK 条目
zh,Item related to RCK Entry is Ineligible or RCK Entry is Improper,与 RCK 条目相关的项目不合格或 RCK 条目不正确
zh,Joint Advertising,联合广告
zh,LIFO,后进先出
zh,LIFO Expire,LIFO 过期
zh,LIFO Receive,后进先出接收
zh,Label Image,标签图像
zh,Label Text,标签文字
zh,Label Type,标签类型
zh,Labor,劳工
zh,Land,土地
zh,Land and Building,土地和建筑
zh,Laptop,笔记本电脑
zh,Late Fee (percent),滞纳金（百分比）
zh,Late Payment Charge,滞纳金
zh,Layoff,遣散
zh,Lead Source,铅源
zh,Lease/Rent Equipment,租赁/出租设备
zh,Lease/Rent Other,租赁/出租 其他
zh,Lease/Rent Real Estate,租赁/出租房地产
zh,Lease/Rent Vehicle,租赁/租赁车辆
zh,Legal,合法的
zh,Lend Return Shipment,借回货件
zh,Lend Shipment,借货
zh,Length,长度
zh,Level 2/3 Data,2/3 级数据
zh,Liabilities,负债
zh,Library of Congress,国会图书馆
zh,License,执照
zh,License Plate Number,车牌号
zh,Limited Participation DFI,有限参与 DFI
zh,Liquid Volume,液体体积
zh,List Price,价格表
zh,Loans Payable,应付贷款
